group,missing_frac
PAMAP2 IMU (wireless),0.0038627373365177
PAMAP2 IMU (wireless),0.0013522237305966
PAMAP2 IMU (wireless),0.0035253455609071
PAMAP2 IMU (wireless),0.0061051454138702
PAMAP2 IMU (wireless),0.0008657718120805
PAMAP2 IMU (wireless),0.0054697986577181
PAMAP2 IMU (wireless),0.0020646039085087
PAMAP2 IMU (wireless),0.0007237979219484
PAMAP2 IMU (wireless),0.0020843798080155
PAMAP2 IMU (wireless),0.0067177221642352
PAMAP2 IMU (wireless),0.0006462849236594
PAMAP2 IMU (wireless),0.0033406558730004
PAMAP2 IMU (wireless),0.0041117126443835
PAMAP2 IMU (wireless),0.0008324817294274
PAMAP2 IMU (wireless),0.0052830571290586
PAMAP2 IMU (wireless),0.0028218685136408
PAMAP2 IMU (wireless),0.0009479930462084
PAMAP2 IMU (wireless),0.0037919721848337
PAMAP2 IMU (wireless),0.0048023112318597
PAMAP2 IMU (wireless),0.0008195179193811
PAMAP2 IMU (wireless),0.0033067707486312
PAMAP2 IMU (wireless),0.0052716582808659
PAMAP2 IMU (wireless),0.003205638787249
PAMAP2 IMU (wireless),0.0047814994448951
PAMAP2 IMU (wireless),0.0003538987849475
PAMAP2 IMU (wireless),0.0060162793441075
PAMAP2 IMU (wireless),0.0010616963548425
OPP acc (wireless),0.0093904061350653
OPP acc (wireless),0.0003717035761796
OPP acc (wireless),0.0039126692229438
OPP acc (wireless),0.0031301353783551
OPP acc (wireless),0.0149659597777603
OPP acc (wireless),0.0
OPP acc (wireless),0.0329055481649581
OPP acc (wireless),0.0101142499413099
OPP acc (wireless),0.0038931058768291
OPP acc (wireless),0.003971359261288
OPP acc (wireless),0.0031301353783551
OPP acc (wireless),0.0
OPP acc (wireless),0.0751303376365441
OPP acc (wireless),0.0051514399205561
OPP acc (wireless),0.0110476663356504
OPP acc (wireless),0.0127855014895729
OPP acc (wireless),0.0012723435948361
OPP acc (wireless),0.0033825719960278
OPP acc (wireless),0.0043445878848063
OPP acc (wireless),0.0015826713008937
OPP acc (wireless),0.0119476166832174
OPP acc (wireless),0.0117614200595829
OPP acc (wireless),0.0112959285004965
OPP acc (wireless),0.0
OPP acc (wireless),0.0603191777116581
OPP acc (wireless),0.005740390106092
OPP acc (wireless),0.0116911610014125
OPP acc (wireless),0.0150572536290686
OPP acc (wireless),0.0178523126859615
OPP acc (wireless),0.003366092627656
OPP acc (wireless),0.029813963273525
OPP acc (wireless),0.0315571183842755
OPP acc (wireless),0.0107895290475761
OPP acc (wireless),0.0066420220599284
OPP acc (wireless),0.012743064947555
OPP acc (wireless),0.0
OPP acc (wireless),0.0122287968441814
OPP acc (wireless),0.00057654377181
OPP acc (wireless),0.0062509482627825
OPP acc (wireless),0.0090122894856622
OPP acc (wireless),0.0254286147777272
OPP acc (wireless),0.0
OPP acc (wireless),0.0293126991351843
OPP acc (wireless),0.0232134729176149
OPP acc (wireless),0.0060385373994841
OPP acc (wireless),0.0067364588074647
OPP acc (wireless),0.006129570626612
OPP acc (wireless),0.0
OPP acc (wireless),0.0692402164171673
OPP acc (wireless),0.0013277126829754
OPP acc (wireless),0.0067713346831745
OPP acc (wireless),0.0098914594881667
OPP acc (wireless),0.0020579546586118
OPP acc (wireless),0.0
OPP acc (wireless),0.021641716732499
OPP acc (wireless),0.0306701629767318
OPP acc (wireless),0.0069372987685464
OPP acc (wireless),0.032329803830451
OPP acc (wireless),0.0073024197563647
OPP acc (wireless),0.0
OPP acc (wireless),0.0339300658588945
OPP acc (wireless),0.0018193064803696
OPP acc (wireless),0.0025470290725175
OPP acc (wireless),0.0101335370956591
OPP acc (wireless),0.0054033402466979
OPP acc (wireless),0.0
OPP acc (wireless),0.0165920751009715
OPP acc (wireless),0.9720736455263254
OPP acc (wireless),0.0039660881272059
OPP acc (wireless),0.0040388603864206
OPP acc (wireless),0.0032747516646654
OPP acc (wireless),0.0
OPP acc (wireless),0.0010514755707175
OPP acc (wireless),0.0004673224758744
OPP acc (wireless),0.1497301212701824
OPP acc (wireless),0.0009346449517489
OPP acc (wireless),0.019206953758441
OPP acc (wireless),0.0009346449517489
OPP acc (wireless),0.0026871042362782
OPP acc (wireless),0.0511951772320489
OPP acc (wireless),0.0014253335514171
OPP acc (wireless),0.0025469074935159
OPP acc (wireless),0.0079912143374535
OPP acc (wireless),0.0
OPP acc (wireless),0.0070571864024915
OPP acc (wireless),0.0013252932211251
OPP acc (wireless),0.0419455304486117
OPP acc (wireless),0.0080180239878073
OPP acc (wireless),0.051752700284938
OPP acc (wireless),0.0013584255516533
OPP acc (wireless),0.003611424027566
OPP acc (wireless),0.0065602014445696
OPP acc (wireless),0.0074879066993572
OPP acc (wireless),0.0453912928235372
OPP acc (wireless),0.0081505533099198
OPP acc (wireless),0.0301172884500695
OPP acc (wireless),0.0061053984575835
OPP acc (wireless),0.002892030848329
OPP acc (wireless),0.0052874503388642
OPP acc (wireless),0.0686200046739892
OPP acc (wireless),0.0246845057256368
OPP acc (wireless),0.0011684973124561
OPP acc (wireless),0.0058424865622809
OPP acc (wireless),0.0074783827997195
OPP acc (wireless),0.0054043000701098
OPP acc (wireless),0.0070694087403598
OPP acc (wireless),0.0071862584716055
OPP acc (wireless),0.0334190231362467
OPP acc (wireless),0.0047941859044827
OPP acc (wireless),0.0014046659337974
OPP acc (wireless),0.0365213142787345
OPP acc (wireless),0.0060461707585196
OPP acc (wireless),0.0199706852326859
OPP acc (wireless),0.001282521069989
OPP acc (wireless),0.020001221448638
OPP acc (wireless),0.0085196042506412
OPP acc (wireless),0.0062904604861365
OPP acc (wireless),0.0234212776352754
OPP acc (wireless),0.0060767069744717
OPP acc (wireless),0.0181690484915109
OPP acc (wireless),0.0119085024822472
OPP acc (wireless),0.0012882548859423
OPP acc (wireless),0.0260793062276126
OPP acc (wireless),0.0055614906051655
OPP acc (wireless),0.0640985357883491
OPP acc (wireless),0.0
OPP acc (wireless),0.0114371897190975
OPP acc (wireless),0.0082008420788034
OPP acc (wireless),0.0056871740086721
OPP acc (wireless),0.0056871740086721
OPP acc (wireless),0.0112800854647143
OPP acc (wireless),0.9785709797021304
OPP acc (wireless),0.0089329188359114
OPP acc (wireless),0.0
OPP acc (wireless),0.0834862728941158
OPP acc (wireless),0.0037267313382523
OPP acc (wireless),0.0409565901344619
OPP acc (wireless),0.0
OPP acc (wireless),0.0008614554852241
OPP acc (wireless),0.0073036443312483
OPP acc (wireless),0.0182965654144349
OPP acc (wireless),0.0037454586314094
OPP acc (wireless),0.0061238248623543
OPP acc (wireless),0.0
OPP acc (wireless),0.0074416355479139
OPP acc (wireless),0.0163071219407355
OPP acc (wireless),0.0064476264675066
OPP acc (wireless),0.0214652231147408
OPP acc (wireless),0.0149370013163904
OPP acc (wireless),0.1960884399430459
OPP acc (wireless),0.1019799586277301
OPP acc (wireless),0.011713188082637
OPP acc (wireless),0.0064476264675066
OPP acc (wireless),0.0048088547403487
OPP acc (wireless),0.0083550492974773
OPP acc (wireless),0.0181339494398624
OPP acc (wireless),0.0121832884097035
OPP acc (wireless),0.0
OPP acc (wireless),0.000754716981132
OPP acc (wireless),0.0008984725965858
OPP acc (wireless),0.0181850853548966
OPP acc (wireless),0.1827493261455525
OPP acc (wireless),0.0867205750224618
OPP acc (wireless),0.1793710691823899
OPP acc (wireless),0.0
OPP acc (wireless),0.0092722371967654
