device,t_min,available
BACK,0.0,True
BACK,0.0005555555555555556,True
BACK,0.0011111111111111111,True
BACK,0.0016666666666666668,True
BACK,0.0022222222222222222,True
BACK,0.0027777777777777775,True
BACK,0.0033333333333333335,True
BACK,0.0038888888888888888,True
BACK,0.0044444444444444444,True
BACK,0.005,True
BACK,0.005555555555555555,True
BACK,0.0061111111111111106,True
BACK,0.006666666666666667,True
BACK,0.007222222222222223,True
BACK,0.0077777777777777776,True
BACK,0.008333333333333333,True
BACK,0.008888888888888889,True
BACK,0.009444444444444445,True
BACK,0.01,True
BACK,0.010555555555555556,True
BACK,0.01111111111111111,True
BACK,0.011666666666666665,True
BACK,0.012222222222222221,True
BACK,0.012777777777777779,True
BACK,0.013333333333333334,True
BACK,0.01388888888888889,True
BACK,0.014444444444444446,True
BACK,0.015000000000000001,True
BACK,0.015555555555555555,True
BACK,0.01611111111111111,True
BACK,0.016666666666666666,True
BACK,0.017222222222222226,True
BACK,0.017777777777777778,True
BACK,0.018333333333333333,True
BACK,0.01888888888888889,True
BACK,0.019444444444444445,True
BACK,0.02,True
BACK,0.020555555555555556,True
BACK,0.021111111111111112,True
BACK,0.021666666666666667,True
BACK,0.02222222222222222,True
BACK,0.02277777777777778,True
BACK,0.02333333333333333,True
BACK,0.02388888888888889,True
BACK,0.024444444444444442,True
BACK,0.025,True
BACK,0.025555555555555557,True
BACK,0.02611111111111111,True
BACK,0.02666666666666667,True
BACK,0.02722222222222222,True
BACK,0.02777777777777778,True
BACK,0.028333333333333332,True
BACK,0.02888888888888889,True
BACK,0.029444444444444443,True
BACK,0.030000000000000002,True
BACK,0.030555555555555555,True
BACK,0.03111111111111111,True
BACK,0.03166666666666666,True
BACK,0.03222222222222222,True
BACK,0.032777777777777774,True
BACK,0.03333333333333333,True
BACK,0.033888888888888885,True
BACK,0.03444444444444445,True
BACK,0.035,True
BACK,0.035555555555555556,True
BACK,0.03611111111111111,True
BACK,0.03666666666666667,True
BACK,0.037222222222222226,True
BACK,0.03777777777777778,True
BACK,0.03833333333333333,True
BACK,0.03888888888888889,True
BACK,0.03944444444444444,True
BACK,0.04,True
BACK,0.04055555555555555,True
BACK,0.04111111111111111,True
BACK,0.041666666666666664,True
BACK,0.042222222222222223,True
